"Site","Cover","Height","Grassbiomass","Species","TotalBiomass","MoistureContent","WetBiomass","LAI","ForbsCover","StandingDeadCover","LitterCover","BareGroundCover","ShrubCover","MossCover","DeadBiomass","ForbsBiomass","ShrubBiomass"
"C1",48.125,46.375,237.5,"Crested Wheatgrass",426.25,722.75,1149,2.84625,0,9.375,41.25,0,2.5,0,149,0,39.75
"C11",41.25,35.625,133,"Crested Wheatgrass",229.75,426.25,656,1.63375,0,5,52.5,1.25,0,0,96.75,0,0
"C12",27.5,37.625,140.25,"Crested Wheatgrass",315.25,284.5,599.75,1.2625,4,8.75,53.5,5.625,0,0.625,142.75,0,32.25
"C13",25.625,43.125,119,"Crested Wheatgrass",294.5,271.5,566,1.23875,0,25.625,43.125,13.75,0,0,175.5,0,0
"C15",35,42.5,168.75,"Crested Wheatgrass",326,342,668,1.735,1.5,6.875,54.75,1.875,0,0,157.25,0,0
"C19",33.125,30.875,55,"Crested Wheatgrass",201.25,283.25,484.5,1.11875,4.875,6.875,54.5,0.625,0,0,140,6.25,0
"C2",44.375,38.75,187.75,"Crested Wheatgrass",526.5,410.75,937.25,2.03875,0,10,40,0,5.625,0,292.75,0,46
"C20",42.5,43.125,135.5,"Crested Wheatgrass",425.25,377.25,802.5,1.87125,3.75,16.25,37.5,0,0,0,287,2.75,0
"C3",50,41.625,130.25,"Crested Wheatgrass",435.75,286.5,722.25,1.89625,0,10,40,0,0,0,305.5,0,0
"C4",35,38.875,109.5,"Crested Wheatgrass",246,168.5,414.5,1.295,0,9.375,55.625,0,0,0,136.5,0,0
"C5",41.875,39.75,174.75,"Crested Wheatgrass",401.5,325.5,727,1.75375,0.625,11.875,43.125,2.5,0,0,226,0.75,0
"C6",43.125,43.75,133.75,"Crested Wheatgrass",377.25,449.25,826.5,1.76,5.625,14.375,31.875,0.625,4.375,0,218.5,5.75,19.25
"C7",53.75,44.125,234.25,"Crested Wheatgrass",435.25,769.25,1204.5,2.22375,0,8.75,33.75,3.75,0,0,201,0,0
"N10",28.125,26.25,97.75,"Native grass",279.5,348.75,628.25,1.43625,0,18.75,51.875,1.25,0,0,181.75,0,0
"N13",27.5,22.375,84.75,"Native grass",285.5,275.25,560.75,0.8675,8.125,9.375,48.75,5,1.25,0,171.75,15.5,13.5
"N14",17.5,26.625,126.75,"Native grass",354.75,240.5,595.25,1.01125,8.75,8.75,60,3.125,1.875,0,199.25,3.75,25
"N15",23.75,23.375,88.5,"Native grass",146.5,163,309.5,1.03,1.25,6.875,58.125,10,0,0,57.25,0.75,0
"N16",22.5,24.125,55.75,"Native grass",122.5,132,254.5,0.97,8.375,4.375,47.25,12.5,5.25,0,52,5.75,9
"N3",23.75,18.125,44.5,"Native grass",243,176,419,1.02,11.875,11.875,35.625,11.25,5.625,0,178.5,11.25,8.75
"N4",21.875,20.125,68.5,"Native grass",203.25,174.75,378,0.79,12.5,5.25,46,8.125,6.25,0,125,9.75,0
"N5",20.625,17.25,37.5,"Native grass",157.5,182.5,340,0.89625,20.625,8.75,35,13.75,0,0,79,41,0
